TransactionID,AccountID,Timestamp,TransactionType,TransactionAmount,AccountBalance
16633,5817,2016-01-01 03:47:23,transfer,2446.41,96273.47
23660,9291,2016-01-01 04:20:25,transfer,2640.83,98629.95
11806,9618,2016-01-01 05:12:44,withdrawal,574.82,65602.63
27498,2288,2016-01-01 05:48:42,payment,1740.12,81461.66
9345,2688,2016-01-01 06:26:04,transfer,292.43,18084.81
5541,3347,2016-01-01 06:57:03,withdrawal,534.45,45834.3
13037,3732,2016-01-01 08:59:13,transfer,2687.14,14687.11
30161,4117,2016-01-01 09:11:41,deposit,45.04,33038.72
19634,1037,2016-01-01 11:00:15,transfer,2539.15,31455.94
26316,1389,2016-01-01 14:42:26,withdrawal,4987.86,46024.96
10033,8471,2016-01-01 17:43:24,withdrawal,4389.29,48265.52
33025,8757,2016-01-01 19:42:11,payment,1263.6,56980.76
17896,3651,2016-01-01 19:54:13,transfer,3398.86,60933.73
31297,3877,2016-01-02 06:10:39,deposit,382.29,36031.7
22605,7628,2016-01-02 06:28:32,payment,2907.44,46488.72
15608,6103,2016-01-02 07:02:26,transfer,3429.68,50164.07
14877,4360,2016-01-02 07:38:55,deposit,114.41,62074.81
16634,9360,2016-01-02 10:27:34,payment,480.78,27230.16
22942,7097,2016-01-02 10:30:15,transfer,2928.37,48312.57
4016,6911,2016-01-02 12:21:38,transfer,1299.88,55467.81
5279,8496,2016-01-02 14:39:55,transfer,4699.68,27783.5
34278,6186,2016-01-02 15:35:31,transfer,1033.12,83428.22
7184,1587,2016-01-02 16:43:43,payment,3856.35,95173.48
19495,6783,2016-01-02 19:43:58,deposit,2018.03,94345.15
3456,1474,2016-01-02 20:34:25,payment,837.62,89515.21
34722,3056,2016-01-02 21:42:32,transfer,825.75,65118.14
24545,1612,2016-01-02 23:56:51,withdrawal,1467.35,26609.06
18176,1244,2016-01-03 02:23:17,deposit,4576.47,99591.03
1556,1266,2016-01-03 05:28:04,withdrawal,1061.01,80073.11
25863,8118,2016-01-03 05:59:28,transfer,4504.77,59584.01
15995,4363,2016-01-03 10:58:45,deposit,4689.0,6840.48
36137,1712,2016-01-03 11:30:09,deposit,4677.88,64255.88
14152,6146,2016-01-03 17:16:30,transfer,4364.49,65642.15
435,8618,2016-01-03 20:42:27,deposit,421.45,28137.71
10937,1491,2016-01-03 21:17:54,payment,4522.22,34089.65
1606,9507,2016-01-03 23:40:46,withdrawal,2595.78,94695.57
17676,2448,2016-01-04 00:15:58,deposit,2842.24,39438.78
20328,4487,2016-01-04 00:29:26,payment,3795.84,9988.74
2275,9180,2016-01-04 00:48:13,transfer,4752.7,57807.28
11711,8513,2016-01-04 03:13:33,payment,4281.48,48382.36
4733,9059,2016-01-04 03:16:21,payment,3620.42,77118.49
19045,7576,2016-01-04 05:28:47,payment,2525.81,90426.54
27468,4967,2016-01-04 05:37:54,payment,3304.67,72513.78
15327,6242,2016-01-04 06:57:05,withdrawal,3221.8,67555.87
21543,6095,2016-01-04 07:46:08,payment,4300.39,74841.52
30296,9666,2016-01-04 15:00:24,payment,4921.1,76140.82
22672,9036,2016-01-04 18:16:29,withdrawal,3904.16,48456.64
32274,9070,2016-01-04 19:09:55,deposit,1115.64,26314.16
35194,2835,2016-01-04 19:11:14,payment,655.42,33211.95
30604,3434,2016-01-05 00:56:23,transfer,1833.72,51443.21
9947,4497,2016-01-05 01:49:10,withdrawal,1655.1,63445.27
16953,5451,2016-01-05 11:05:11,withdrawal,3218.56,42323.98
33828,6545,2016-01-05 11:21:51,deposit,2041.45,92858.98
27476,6987,2016-01-05 11:41:23,withdrawal,3565.56,31396.59
11708,4264,2016-01-05 13:36:38,withdrawal,4983.67,14627.98
20541,8123,2016-01-05 13:36:58,transfer,3203.82,29869.91
24484,5934,2016-01-05 15:50:54,withdrawal,1808.74,76800.74
36586,2380,2016-01-05 15:58:11,deposit,294.77,29268.45
5204,9531,2016-01-05 16:28:28,payment,3588.66,90488.95
4315,8429,2016-01-05 18:35:32,transfer,4854.73,2410.25
4630,6818,2016-01-05 20:41:14,deposit,2553.34,48760.95
2922,3735,2016-01-05 21:13:30,withdrawal,3563.39,52779.14
29943,7398,2016-01-05 23:23:22,deposit,4236.65,5183.02
23343,7429,2016-01-06 00:26:21,deposit,4502.99,24567.54
